"","target","key_age","key_recency","key_frequency","key_monetary","key_rfm","key_is_left_handed","key_role","eg_factor_4","eg_factor_4_na","eg_factor_12","eg_factor_12_na","eg_factor_50","eg_factor_50_na","eg_binary","eg_binary_na","eg_logical","eg_logical_na","eg_continuous","eg_continuous_na","eg_cluster","eg_cluster_na","eg_integer_7","eg_integer_7_na","eg_integer_50","eg_integer_50_na","eg_character","eg_character_na","eg_long_character","eg_long_character_na","eg_date","eg_date_na"
"1","negative",32.5,126,2,1670,0.631787330316742,0,"domestique","raccoon","raccoon","burlywood3","burlywood3","Alabama","Alabama",0,0,FALSE,FALSE,153.342678408969,153.342678408969,50.4452751814388,NA,67,67,45,45,"Superzealous Ox",NA,"Aliquam, sem, est leo","Aliquam, sem, est leo",2022-02-14,NA
"2","negative",22.3,55,7,1021,0.842760180995475,0,"domestique","raccoon","raccoon","chartreuse1","chartreuse1","Minnesota","Minnesota",0,0,FALSE,FALSE,115.001842194109,115.001842194109,60.3427705920767,60.3427705920767,59,59,38,38,"Upper Narwhal","Upper Narwhal","Sed nec porttitor nulla","Sed nec porttitor nulla",2021-07-29,2021-07-29
"3","negative",37.3,54,6,917,0.807692307692308,0,"gc","raccoon",NA,"burlywood1","burlywood1","Tennessee","Tennessee",0,0,TRUE,TRUE,89.0816956122334,89.0816956122334,40.4184208442457,40.4184208442457,61,61,3,3,"Kaput Seagull",NA,"Ultricies quis euismod auctor","Ultricies quis euismod auctor",2022-02-14,2022-02-14
"4","negative",39.5,NA,NA,NA,NA,0,"gc","dragon","dragon","burlywood","burlywood","Kentucky",NA,0,NA,TRUE,TRUE,159.81782065874,NA,50.9153031725436,50.9153031725436,53,53,42,42,"Disaffected Beetle","Disaffected Beetle","Elit molestie mi. Sit","Elit molestie mi. Sit",2021-07-29,2021-07-29
"5","negative",36.3,241,1,165,0.278846153846154,0,"puncheur","fish","fish","chartreuse","chartreuse","Michigan","Michigan",1,1,TRUE,TRUE,127.355029992516,127.355029992516,40.8834393632133,40.8834393632133,61,61,21,21,"Illiterate Shrike","Illiterate Shrike","Vestibulum ac, auctor vel","Vestibulum ac, auctor vel",2021-07-29,2021-07-29
"6","positive",68,268,2,305,0.541289592760181,0,"domestique","dragon","dragon","burlywood2","burlywood2","Louisiana","Louisiana",0,0,FALSE,FALSE,156.532595904028,156.532595904028,40.6180424853228,40.6180424853228,67,67,27,27,"Overwealthy Flounder","Overwealthy Flounder","Penatibus erat vulputate nascetur","Penatibus erat vulputate nascetur",2021-11-06,2021-11-06
"7","negative",51.4,63,2,1776,0.510746606334842,0,"sprinteurs","raccoon","raccoon","burlywood4","burlywood4","Arkansas","Arkansas",1,1,FALSE,FALSE,108.791636830611,108.791636830611,20.1172627885826,20.1172627885826,53,53,40,40,"Compulsory Groundbeetle","Compulsory Groundbeetle","Eu risus eu mollis","Eu risus eu mollis",2021-11-06,2021-11-06
"8","negative",37.4,38,16,34591,0.970588235294118,0,"domestique","raccoon","raccoon","burlywood3",NA,"California",NA,0,0,TRUE,TRUE,77.6468245625451,77.6468245625451,60.080403033644,60.080403033644,47,47,30,30,"Sisterlike Harvestmen","Sisterlike Harvestmen","Nisi dui egestas feugiat","Nisi dui egestas feugiat",2021-07-29,2021-07-29
"9","positive",67.4,334,1,167,0.355203619909502,0,"rouleur","raccoon","raccoon","cadetblue3","cadetblue3","New Hampshire","New Hampshire",0,0,FALSE,FALSE,104.293681510208,104.293681510208,30.0527834245004,30.0527834245004,61,61,7,7,"Dodecasyllabic Pangolin","Dodecasyllabic Pangolin","Hac vel nisi, vel","Hac vel nisi, vel",2021-04-20,2021-04-20
"10","negative",25.8,192,1,138,0.143665158371041,0,"grimpeur","raccoon","raccoon","burlywood2","burlywood2","Minnesota","Minnesota",0,0,FALSE,FALSE,58.0290482270541,58.0290482270541,70.8962380026933,70.8962380026933,73,73,45,45,"Petitbourgeois Springpeeper","Petitbourgeois Springpeeper","In, fames enim pharetra","In, fames enim pharetra",2022-02-14,2022-02-14
"11","negative",27.7,37,5,2147,0.82975113122172,0,"rouleur","fish","fish","burlywood3","burlywood3","Connecticut",NA,0,0,FALSE,FALSE,123.172358437343,123.172358437343,60.5099353003316,60.5099353003316,59,NA,6,6,"Disposable Dutchshepherddog",NA,"Curabitur mauris ac varius","Curabitur mauris ac varius",2021-11-06,2021-11-06
"12","negative",31.4,20,2,13446,0.458710407239819,0,"grimpeur","fish","fish","burlywood1","burlywood1","Tennessee","Tennessee",1,NA,FALSE,FALSE,125.695679057066,125.695679057066,30.4886422392447,30.4886422392447,71,71,23,23,"Tyrannous Robberfly","Tyrannous Robberfly","Dis eget a lacus,","Dis eget a lacus,",2022-02-14,2022-02-14
